air_temp,apd,day,dewpoint,dpd,gust,hour,lat,lat_attr,lon,lon_attr,minute,month,mwd,obs_time,pressure,ptdy,station_id,tide,vis,water_temp,wave_height,wind_dir,wind_speed
-0.2,4.7,2,,5,4,14,42.346,42.346,-70.651,-70.651,50,4,91,4/2/2018 14:50:00,1020.8,0.5,44013,,,4.9,0.4,290,3
11.1,3.6,2,11.1,8,6,14,36.611,36.611,-74.843,-74.843,50,4,115,4/2/2018 14:50:00,1015.2,0.3,44014,,,8.9,0.6,230,5
1,4.1,2,1,5,9,14,40.693,40.693,-72.049,-72.049,50,4,52,4/2/2018 14:50:00,1020.2,0.8,44017,,,4.8,0.9,20,8
0.5,3.1,2,0.5,3,5,14,41.439,41.439,-70.186,-70.186,50,4,65,4/2/2018 14:50:00,1020.4,0.4,44020,,,4.8,0.3,40,5
1.7,4.3,2,,5,11,14,40.251,40.251,-73.164,-73.164,50,4,62,4/2/2018 14:50:00,1019.5,1.7,44025,,,4.8,1.3,30,9
,5.2,2,,6,,14,44.287,44.287,-67.307,-67.307,50,4,185,4/2/2018 14:50:00,1020.6,0.7,44027,,,4.4,0.7,,
0,,2,,5,,14,42.523,42.523,-70.566,-70.566,4,4,,4/2/2018 14:04:00,1019.9,,44029,,,4.6,0.6,,
0.1,,2,,5,3,14,43.181,43.181,-70.428,-70.428,4,4,,4/2/2018 14:04:00,1019.4,,44030,,,4.4,0.4,190,2
2.2,,2,,8,1,14,43.716,43.716,-69.355,-69.355,4,4,,4/2/2018 14:04:00,1019.8,,44032,,,,0.5,,0
1.5,,2,,8,2,14,44.055,44.055,-68.998,-68.998,4,4,,4/2/2018 14:04:00,1020.6,,44033,,,3.9,0.3,350,1
1.2,,2,,6,2,14,44.106,44.106,-68.109,-68.109,4,4,,4/2/2018 14:04:00,1020.1,,44034,,1.4,4.2,0.6,90,2
1.9,,2,,6,2,14,43.491,43.491,-67.88,-67.88,4,4,,4/2/2018 14:04:00,1020.2,,44037,,1.6,,0.8,70,1
0.3,,2,,,6,14,41.138,41.138,-72.655,-72.655,45,4,,4/2/2018 14:45:00,,,44039,,,,0.3,50,5
,5.5,2,,9,,15,36.2,36.2,-75.714,-75.714,0,4,107,4/2/2018 15:00:00,,,44056,,,8.4,0.5,,
5,,2,,,8,15,38.556,38.556,-76.415,-76.415,10,4,,4/2/2018 15:10:00,1018.8,,44062,,,,,70,7
1.4,,2,0.5,,10,15,40.369,40.369,-73.703,-73.703,10,4,,4/2/2018 15:10:00,1020,,44065,,,5.5,,50,8
4.3,5.2,2,3.7,6,15,14,39.568,39.568,-72.586,-72.586,50,4,47,4/2/2018 14:50:00,1016,-0.4,44066,,,7.6,2.1,30,13
,4,2,,9,,15,36.612,36.612,-74.838,-74.838,0,4,116,4/2/2018 15:00:00,,,44088,,,8.7,0.6,,
,3.3,2,,3,,15,37.757,37.757,-75.334,-75.334,0,4,20,4/2/2018 15:00:00,,,44089,,,7.2,0.7,,
,2.9,2,,4,,15,41.84,41.84,-70.329,-70.329,0,4,0,4/2/2018 15:00:00,,,44090,,,4.2,0.4,,
,5.1,2,,6,,15,39.778,39.778,-73.769,-73.769,0,4,65,4/2/2018 15:00:00,,,44091,,,6.1,2.1,,
,,2,,9,,14,35.75,35.75,-75.33,-75.33,48,4,,4/2/2018 14:48:00,,,44095,,,11.1,0.6,,
,,2,,10,,14,37.023,37.023,-75.809,-75.809,51,4,,4/2/2018 14:51:00,,,44096,,,7.4,0.5,,
,3.7,2,,4,,15,40.969,40.969,-71.127,-71.127,13,4,25,4/2/2018 15:13:00,,,44097,,,4.8,0.8,,
,4.4,2,,5,,15,42.798,42.798,-70.168,-70.168,6,4,85,4/2/2018 15:06:00,,,44098,,,4.7,0.7,,
,3.7,2,,9,,15,36.915,36.915,-75.72,-75.72,0,4,107,4/2/2018 15:00:00,,,44099,,,8.8,0.6,,
,4.6,2,,9,,14,36.26,36.26,-75.594,-75.594,45,4,110,4/2/2018 14:45:00,,,44100,,,9.3,0.5,,
6.4,,2,,8,5,15,42.26,42.26,-62,-62,0,4,,4/2/2018 15:00:00,1018.7,0.1,44137,,,12.1,1.6,10,4
2.4,,2,,8,6,15,44.24,44.24,-57.1,-57.1,0,4,,4/2/2018 15:00:00,1017.3,3.1,44139,,,2.1,2.3,320,5
3.6,,2,,7,4,15,42.5,42.5,-64.02,-64.02,0,4,,4/2/2018 15:00:00,1019.6,-0.5,44150,,,12.3,1.5,,2
4.7,4.8,2,,7,8,14,56.304,56.304,-147.92,-147.92,50,4,,4/2/2018 14:50:00,1021.8,0,46001,,,4.9,1.3,20,6
,,2,,,,15,42.612,42.612,-130.537,-130.537,10,4,,4/2/2018 15:10:00,1024.1,,46002,,,,,,
6.2,,2,,,8,15,46.14,46.14,-131.07,-131.07,10,4,,4/2/2018 15:10:00,1023.4,,46005,,,,,330,5
12.8,,2,,8,10,14,34.956,34.956,-121.019,-121.019,50,4,,4/2/2018 14:50:00,1012.4,1.5,46011,,,13.6,1.8,320,9
11.7,6,2,,8,13,14,37.363,37.363,-122.881,-122.881,50,4,323,4/2/2018 14:50:00,1013.2,0.8,46012,,,12.4,2.7,320,11
11.1,,2,9.9,,17,15,38.238,38.238,-123.307,-123.307,10,4,,4/2/2018 15:10:00,1013.9,,46013,,,10.4,,310,14
,,2,,,12,15,39.235,39.235,-123.974,-123.974,10,4,,4/2/2018 15:10:00,1015.8,,46014,,,,,340,10
9.1,4.8,2,3.6,6,14,14,40.72,40.72,-124.531,-124.531,50,4,345,4/2/2018 14:50:00,1017.6,1.7,46022,,,10.7,1.7,360,12
,,2,,,2,15,33.749,33.749,-119.053,-119.053,10,4,,4/2/2018 15:10:00,1011.8,,46025,,,,,320,2
11.2,5.6,2,,7,13,14,37.755,37.755,-122.839,-122.839,50,4,300,4/2/2018 14:50:00,1012.9,1.2,46026,,,11.8,2.2,320,11
8.5,4.6,2,,5,13,14,41.852,41.852,-124.382,-124.382,50,4,342,4/2/2018 14:50:00,1017.8,1.6,46027,,,9.7,1.5,350,11
